Plot Title: 20879782,,,
ID,datetime,abs pres_kPa,temp_C
1,7/29/20 18:00,72.535,17.855
2,7/29/20 18:10,72.527,16.903
3,7/29/20 18:20,72.535,16.237
4,7/29/20 18:30,72.543,15.569
5,7/29/20 18:40,72.523,15.091
6,7/29/20 18:50,72.534,14.613
7,7/29/20 19:00,72.546,14.23
8,7/29/20 19:10,72.538,13.846
9,7/29/20 19:20,72.573,13.558
10,7/29/20 19:30,72.577,13.269
11,7/29/20 19:40,72.581,12.98
12,7/29/20 19:50,72.575,12.69
13,7/29/20 20:00,72.591,12.497
14,7/29/20 20:10,72.616,12.207
15,7/29/20 20:20,72.609,11.916
16,7/29/20 20:30,72.623,11.625
17,7/29/20 20:40,72.627,11.334
18,7/29/20 20:50,72.632,11.139
19,7/29/20 21:00,72.636,10.846
20,7/29/20 21:10,72.649,10.553
21,7/29/20 21:20,72.665,10.357
22,7/29/20 21:30,72.669,10.063
23,7/29/20 21:40,72.684,9.866
24,7/29/20 21:50,72.687,9.571
25,7/29/20 22:00,72.682,9.373
26,7/29/20 22:10,72.698,9.176
27,7/29/20 22:20,72.703,8.978
28,7/29/20 22:30,72.698,8.779
29,7/29/20 22:40,72.693,8.581
30,7/29/20 22:50,72.67,8.481
31,7/29/20 23:00,72.676,8.282
32,7/29/20 23:10,72.691,8.082
33,7/29/20 23:20,72.678,7.983
34,7/29/20 23:30,72.665,7.882
35,7/29/20 23:40,72.66,7.682
36,7/29/20 23:50,72.668,7.582
37,7/30/20 0:00,72.678,7.582
38,7/30/20 0:10,72.686,7.481
39,7/30/20 0:20,72.673,7.381
40,7/30/20 0:30,72.691,7.28
41,7/30/20 0:40,72.698,7.179
42,7/30/20 0:50,72.696,7.079
43,7/30/20 1:00,72.685,7.079
44,7/30/20 1:10,72.683,6.978
45,7/30/20 1:20,72.68,6.877
46,7/30/20 1:30,72.69,6.877
47,7/30/20 1:40,72.687,6.775
48,7/30/20 1:50,72.685,6.674
49,7/30/20 2:00,72.692,6.573
50,7/30/20 2:10,72.672,6.573
51,7/30/20 2:20,72.669,6.471
52,7/30/20 2:30,72.676,6.37
53,7/30/20 2:40,72.666,6.37
54,7/30/20 2:50,72.674,6.268
55,7/30/20 3:00,72.661,6.166
56,7/30/20 3:10,72.661,6.166
57,7/30/20 3:20,72.658,6.064
58,7/30/20 3:30,72.668,6.064
59,7/30/20 3:40,72.655,5.962
60,7/30/20 3:50,72.676,5.962
61,7/30/20 4:00,72.676,5.962
62,7/30/20 4:10,72.665,5.962
63,7/30/20 4:20,72.686,5.962
64,7/30/20 4:30,72.696,5.962
65,7/30/20 4:40,72.693,5.86
66,7/30/20 4:50,72.714,5.86
67,7/30/20 5:00,72.721,5.757
68,7/30/20 5:10,72.701,5.757
69,7/30/20 5:20,72.708,5.655
70,7/30/20 5:30,72.698,5.655
71,7/30/20 5:40,72.695,5.552
72,7/30/20 5:50,72.716,5.552
73,7/30/20 6:00,72.726,5.552
74,7/30/20 6:10,72.736,5.552
75,7/30/20 6:20,72.716,5.552
76,7/30/20 6:30,72.716,5.552
77,7/30/20 6:40,72.736,5.552
78,7/30/20 6:50,72.76,5.655
79,7/30/20 7:00,72.742,5.757
80,7/30/20 7:10,72.745,5.86
81,7/30/20 7:20,72.73,6.064
82,7/30/20 7:30,72.735,6.268
83,7/30/20 7:40,72.751,6.471
84,7/30/20 7:50,72.759,6.775
85,7/30/20 8:00,72.778,7.079
86,7/30/20 8:10,72.768,7.481
87,7/30/20 8:20,72.789,7.882
88,7/30/20 8:30,72.799,8.282
89,7/30/20 8:40,72.804,8.879
90,7/30/20 8:50,72.823,9.669
91,7/30/20 9:00,72.822,10.455
92,7/30/20 9:10,72.815,11.041
93,7/30/20 9:20,72.823,11.819
94,7/30/20 9:30,72.844,12.304
95,7/30/20 9:40,72.841,12.594
96,7/30/20 9:50,72.853,12.69
97,7/30/20 10:00,72.845,12.787
98,7/30/20 10:10,72.857,12.883
99,7/30/20 10:20,72.851,13.076
100,7/30/20 10:30,72.864,13.173
101,7/30/20 10:40,72.858,13.365
102,7/30/20 10:50,72.872,13.558
103,7/30/20 11:00,72.876,13.75
104,7/30/20 11:10,72.862,14.038
105,7/30/20 11:20,72.874,14.613
106,7/30/20 11:30,72.872,14.996
107,7/30/20 11:40,72.875,15.187
108,7/30/20 11:50,72.894,15.091
109,7/30/20 12:00,72.886,15.187
110,7/30/20 12:10,72.897,15.76
111,7/30/20 12:20,72.876,16.237
112,7/30/20 12:30,72.857,17.95
113,7/30/20 12:40,72.856,19.662
114,7/30/20 12:50,72.869,21.091
115,7/30/20 13:00,72.877,22.333
116,7/30/20 13:10,72.885,23.581
117,7/30/20 13:20,72.885,24.351
118,7/30/20 13:30,72.898,24.545
119,7/30/20 13:40,72.882,24.931
120,7/30/20 13:50,72.883,25.028
121,7/30/20 14:00,72.866,24.448
122,7/30/20 14:10,72.869,23.966
123,7/30/20 14:20,72.879,23.869
124,7/30/20 14:30,72.866,23.677
125,7/30/20 14:40,72.871,23.292
126,7/30/20 14:50,72.857,22.333
127,7/30/20 15:00,72.857,20.996
128,7/30/20 15:10,72.838,19.853
129,7/30/20 15:20,72.832,18.901
130,7/30/20 15:30,72.829,18.14
131,7/30/20 15:40,72.82,17.665
132,7/30/20 15:50,72.817,17.475
133,7/30/20 16:00,72.822,17.189
134,7/30/20 16:10,72.804,16.808
135,7/30/20 16:20,72.79,16.618
136,7/30/20 16:30,72.788,16.523
137,7/30/20 16:40,72.788,16.523
138,7/30/20 16:50,72.79,16.618
139,7/30/20 17:00,72.809,16.523
140,7/30/20 17:10,72.807,16.427
141,7/30/20 17:20,72.826,16.332
142,7/30/20 17:30,72.822,16.141
143,7/30/20 17:40,72.86,15.951
144,7/30/20 17:50,72.856,15.76
145,7/30/20 18:00,72.852,15.569
146,7/30/20 18:10,72.859,15.378
147,7/30/20 18:20,72.853,15.091
148,7/30/20 18:30,72.837,14.804
149,7/30/20 18:40,72.851,14.517
150,7/30/20 18:50,72.847,14.325
151,7/30/20 19:00,72.874,14.134
152,7/30/20 19:10,72.86,13.942
153,7/30/20 19:20,72.864,13.654
154,7/30/20 19:30,72.847,13.365
155,7/30/20 19:40,72.851,13.076
156,7/30/20 19:50,72.866,12.787
157,7/30/20 20:00,72.878,12.401
158,7/30/20 20:10,72.881,12.11
159,7/30/20 20:20,72.885,11.819
